Town,District,Province,Latitude,Longitude,Date,Year,Total Deaths
Wana,South Waziristan,FATA,32.307446,69.56543,6/19/2004,2004,7
"Toorikhel, Mirali",North Waziristan,FATA,32.987644,70.261345,05/08/2005,2005,2
Haisori,North Waziristan,FATA,33.010391,70.043335,11/05/2005,2005,8
Patasi Adda,North Waziristan,FATA,32.09686,70.2657,12/01/2005,2005,5
Damadola,Bajaur,FATA,34.801682,71.472588,01/06/2006,2006,18
"Chenagai, six miles north of Khar",Bajaur,FATA,34.841988,71.49765,10/30/2006,2006,82
"Salamat Keley, Zamazola",South Waziristan,FATA,32.844982,69.56543,1/16/2007,2007,30
"Danda Saidgai, 15 km north of Miram Shah",North Waziristan,FATA,33.109947,70.068054,4/27/2007,2007,4
"Mami Rogha, 26 miles west of Miram Shah",North Waziristan,FATA,32.991386,70.291901,6/19/2007,2007,34
Outside Miram Shah,North Waziristan,FATA,32.992538,70.098953,11/02/2007,2007,9
Near Mir Ali,North Waziristan,FATA,32.99398,70.237999,1/29/2008,2008,13
Azam Warzak,South Waziristan,FATA,32.308025,69.409561,2/28/2008,2008,13
"Dhook Pir Bagh, near Wana",South Waziristan,FATA,32.316151,69.462433,3/16/2008,2008,20
Damadola,Bajaur,FATA,34.809856,71.531296,5/14/2008,2008,16
Makeen,South Waziristan,FATA,32.622604,69.829102,6/14/2008,2008,1
Zeralita in the Azam Warsak region,South Waziristan,FATA,32.288296,69.439774,7/28/2008,2008,6
"Bhagar, 22 miles west of Wana",South Waziristan,FATA,32.311508,69.320984,08/12/2008,2008,12
Wana,South Waziristan,FATA,32.301064,69.598389,8/20/2008,2008,10
Ganghikhel area,South Waziristan,FATA,32.3028,69.5805,8/27/2008,2008,0
Korzai region near Wana,South Waziristan,FATA,32.326595,69.521484,8/30/2008,2008,6
"Tappi, Miram Shah",North Waziristan,FATA,33.01442,70.061188,8/31/2008,2008,8
Char Khel,North Waziristan,FATA,33.016724,69.848328,09/04/2008,2008,7
Gurwak,North Waziristan,FATA,33.046658,69.539337,09/05/2008,2008,12
"Danda Darpa Khel, outside Miram Shah",North Waziristan,FATA,33.01442,70.085907,09/08/2008,2008,25
Tol Khel on the outskirts of Miram Shah,North Waziristan,FATA,33.004059,70.074921,09/12/2008,2008,12
"Baghar Cheena region, 55km west of Wana",South Waziristan,FATA,32.500496,69.283905,9/17/2008,2008,7
"Khusali Toorikhel, near Mir Ali",North Waziristan,FATA,32.97699,70.303574,10/01/2008,2008,5
"Mohammad Khel, near Datta Khel",North Waziristan,FATA,32.998299,69.723358,10/03/2008,2008,21
Datta Khel,North Waziristan,FATA,33.001755,69.704132,10/03/2008,2008,3
"Tati, near Miram Shah",North Waziristan,FATA,32.994843,70.167618,10/09/2008,2008,9
Just outside Miram Shah,North Waziristan,FATA,32.99369,70.092087,10/11/2008,2008,5
"Taparghai, near Saam in the Ladha region",South Waziristan,FATA,32.540447,69.854507,10/16/2008,2008,4
